sex,minority,mathPrescore,mathGain,ses,teachXper,teachrMath,povertyRate,teachrMathprep,classid,schoolid,childid
F,1,448,32,0.46,1,NA,0.082,2,160,1,1
M,1,460,109,-0.27,1,NA,0.082,2,160,1,2
F,1,511,56,-0.03,1,NA,0.082,2,160,1,3
M,1,449,83,-0.38,2,-0.11,0.082,3.25,217,1,4
M,1,425,53,-0.03,2,-0.11,0.082,3.25,217,1,5
F,1,450,65,0.76,2,-0.11,0.082,3.25,217,1,6
M,1,452,51,-0.03,2,-0.11,0.082,3.25,217,1,7
M,1,443,66,0.2,2,-0.11,0.082,3.25,217,1,8
F,1,422,88,0.64,2,-0.11,0.082,3.25,217,1,9
M,1,480,-7,0.13,2,-0.11,0.082,3.25,217,1,10
M,1,502,60,0.83,2,-0.11,0.082,3.25,217,1,11
F,1,502,-2,0.06,1,-1.25,0.082,2.5,197,2,12
M,0,430,101,0.3,1,-1.25,0.082,2.5,197,2,13
M,0,526,30,-0.27,2,-0.72,0.082,2.33,211,2,14
M,0,504,65,0.74,2,-0.72,0.082,2.33,211,2,15
F,0,527,29,0.31,2,-0.72,0.082,2.33,211,2,16
F,0,462,152,1.1,2,-0.72,0.082,2.33,211,2,17
M,0,483,50,0.52,12.54,NA,0.082,2.3,307,2,18
F,1,516,60,-1.15,12.54,NA,0.082,2.3,307,2,19
M,1,476,74,0,12.54,NA,0.082,2.3,307,2,20
M,1,453,91,0.39,12.54,NA,0.082,2.3,307,2,21
M,0,494,68,-0.06,20,0.45,0.086,3.83,11,3,22
M,0,416,94,-0.26,20,0.45,0.086,3.83,11,3,23
M,0,456,120,0.64,20,0.45,0.086,3.83,11,3,24
F,0,445,58,-0.37,20,0.45,0.086,3.83,11,3,25
M,0,446,123,0.54,5,0.99,0.086,2.25,137,3,26
F,0,479,88,2.21,5,0.99,0.086,2.25,137,3,27
M,1,474,60,-0.43,19,1.61,0.086,3,145,3,28
M,0,453,152,0.41,19,1.61,0.086,3,145,3,29
M,0,494,96,0.06,19,1.61,0.086,3,145,3,30
F,0,529,57,-0.09,19,1.61,0.086,3,145,3,31
M,1,461,115,1.58,19,1.61,0.086,3,145,3,32
M,0,482,58,0.12,8,1.14,0.086,2.17,228,3,33
M,0,475,51,-0.35,8,1.14,0.086,2.17,228,3,34
M,0,464,104,0.9,8,1.14,0.086,2.17,228,3,35
F,1,496,65,-1.03,27,-1.05,0.365,2,48,4,36
F,1,443,64,-0.8,27,-1.05,0.365,2,48,4,37
M,1,455,59,1.04,27,-1.05,0.365,2,48,4,38
M,1,447,70,-0.3,27,-1.05,0.365,2,48,4,39
F,1,501,63,0.9,12,NA,0.365,2,179,4,40
M,1,434,-110,-0.37,12,NA,0.365,2,179,4,41
F,1,462,73,-0.03,3,0.22,0.511,3.75,299,5,42
M,1,444,100,-0.03,3,0.22,0.511,3.75,299,5,43
F,1,472,-9,-1.39,3,0.22,0.511,3.75,299,5,44
F,1,450,67,-1.25,3,0.22,0.511,3.75,299,5,45
M,1,463,58,-0.28,3,0.22,0.511,3.75,299,5,46
F,1,381,72,0.41,3,0.22,0.511,3.75,299,5,47
F,1,447,88,0.01,1,-0.86,0.044,1.75,254,6,48
M,0,504,115,-0.31,1,-0.86,0.044,1.75,254,6,49
M,1,483,62,-1.43,24,-0.73,0.044,4,286,6,50
F,0,459,42,-0.73,24,-0.73,0.044,4,286,6,51
M,0,472,88,1.31,24,-0.73,0.044,4,286,6,52
F,0,475,71,0.09,24,-0.73,0.044,4,286,6,53
M,1,468,74,0.35,24,-0.73,0.044,4,286,6,54
M,0,467,67,-0.02,24,-0.73,0.044,4,286,6,55
F,1,418,74,0.79,19,-0.98,0.044,2.5,291,6,56
F,1,415,87,-0.69,19,-0.98,0.044,2.5,291,6,57
M,1,444,83,-0.44,19,-0.98,0.044,2.5,291,6,58
M,1,433,93,0.29,19,-0.98,0.044,2.5,291,6,59
M,0,427,56,-1.3,13,1.53,0.148,2.33,89,7,60
F,0,428,40,-0.32,13,1.53,0.148,2.33,89,7,61
F,0,429,69,0.57,13,1.53,0.148,2.33,89,7,62
F,0,497,75,-0.03,7,NA,0.148,2.5,107,7,63
F,1,422,57,0.94,7,NA,0.148,2.5,107,7,64
F,1,487,23,-1.02,7,NA,0.148,2.5,107,7,65
M,1,435,53,-0.88,7,NA,0.148,2.5,107,7,66
F,0,411,114,-0.78,8,1.1,0.148,2.33,162,7,67
F,0,396,56,-0.98,8,1.1,0.148,2.33,162,7,68
M,0,462,55,1.41,13,-0.79,0.148,3.33,280,7,69
F,0,463,28,-0.35,13,-0.79,0.148,3.33,280,7,70
M,1,444,61,-1.15,13,-0.79,0.148,3.33,280,7,71
F,0,451,59,-0.46,13,-0.79,0.148,3.33,280,7,72
F,0,437,57,-0.21,13,-0.79,0.148,3.33,280,7,73
M,1,484,85,0.62,6,-0.14,0.085,2,147,8,74
M,1,488,28,0.18,6,-0.14,0.085,2,147,8,75
F,1,475,166,-0.14,6,-0.14,0.085,2,147,8,76
M,1,544,61,1.11,6,-0.14,0.085,2,147,8,77
F,1,467,47,-0.79,6,-0.14,0.085,2,147,8,78
F,1,509,62,0.86,6,-0.07,0.085,2,265,8,79
F,1,489,35,-0.11,6,-0.07,0.085,2,265,8,80
F,1,448,52,0.15,6,-0.07,0.085,2,265,8,81
M,1,516,70,0.28,6,-0.07,0.085,2,265,8,82
M,1,489,11,-1.37,22,0.28,0.085,1.5,279,8,83
M,1,519,37,1.34,22,0.28,0.085,1.5,279,8,84
M,0,517,36,-0.16,22,0.28,0.085,1.5,279,8,85
F,1,552,13,0.69,22,0.28,0.085,1.5,279,8,86
M,0,475,6,0.2,22,0.28,0.085,1.5,279,8,87
F,1,535,21,0.39,22,0.28,0.085,1.5,279,8,88
F,1,472,26,1.34,22,0.28,0.085,1.5,279,8,89
F,1,497,22,-0.11,23,-1.05,0.537,1.25,17,9,90
M,1,542,26,-0.03,23,-1.05,0.537,1.25,17,9,91
M,1,422,74,1,23,-1.05,0.537,1.25,17,9,92
F,1,482,41,-0.03,23,-0.42,0.537,1.17,58,9,93
M,1,459,13,0,24,-0.43,0.537,3,283,9,94
F,1,450,33,-1.45,24,-0.43,0.537,3,283,9,95
M,1,376,102,-0.3,15,-1.06,0.346,3.25,178,10,96
F,1,460,72,-0.38,15,-1.06,0.346,3.25,178,10,97
F,1,473,44,-0.82,21,-0.48,0.346,2.5,208,10,98
M,1,428,78,-0.97,21,-0.48,0.346,2.5,208,10,99
M,1,437,48,-0.94,21,-0.48,0.346,2.5,208,10,100
M,1,436,90,-1.27,21,-0.48,0.346,2.5,208,10,101
F,1,449,78,-1.09,1,NA,0.346,2,278,10,102
M,1,477,107,0.19,1,NA,0.346,2,278,10,103
F,1,477,67,-0.1,1,NA,0.346,2,278,10,104
F,1,410,75,-0.21,1,NA,0.346,2,278,10,105
M,1,439,69,0.15,1,NA,0.346,2,278,10,106
M,1,463,51,1.7,1,NA,0.346,2,278,10,107
F,1,456,70,-0.58,1,NA,0.346,2,278,10,108
M,1,433,103,-1,1,NA,0.346,2,278,10,109
M,1,433,90,-0.45,24,0.48,0.346,3.75,303,10,110
M,1,427,85,-0.37,24,0.48,0.346,3.75,303,10,111
F,1,444,55,-1.21,24,0.48,0.346,3.75,303,10,112
F,1,426,65,-1.45,24,0.48,0.346,3.75,303,10,113
F,0,526,44,0.83,6,0.12,0.101,4,86,11,114
M,1,494,66,1.42,6,0.12,0.101,4,86,11,115
